John DeNero What_is_the_best_Dr._Seuss_book? Green_Eggs_and_Ham The_Lorax The_Cat_in_The_Hat How_the_Grinch_Stole_Christmas 3
Joshua Hug What_is_the_best_tool_for_chopping_down_large_trees? Chainsaw Muscles Axe 61B_Students 1
Michael Crommie Why_are_they_called_degenerate_eigenstates? They_don't_respect_their_elders They_are_chain-smokers They_watch_corn_grow They_don't_like_Kantian_ethics 3
Austin Hedeman What_is_the_best_dinosaur? Triceratops Stegosaurus Parasaurolophus Velociraptor 3
Edgar Knobloch What_is_the_secret_to_passing_Physics105? Study_Hard Realizing_it's_just_geometry Cheat Give_up 2
Joel Fajans What_is_the_best_programming_language? Python Java C++ LabView! 4
Chien-I Chiang  What_color_is_my_favorite_jacket? Red Blue Green Yellow 2
Holger Mueller What_is_the_fine-structure_constant? 1/137.0354299046(27) 1/147.035999046(27) 1/237.135089066(27)  1/137.035999046(27) 4
James Analytis New_Zealand_has_the_most_what_per_capita? Undergrad_research_opportunities Scottish_pipe_bands People_named_James Exotic_materials_manifesting_quantum_phenomena 2
Andres Valiente Go_what? Bears! Banana_Slugs! Anteaters! Gauchos! 1
Raphael Bousso  What_do_you_learn_from_philosophy? Something Everything Philosophy Nothing 4
Zvezdelina Stankova How_do_you_say_good_afternoon_in_Bulgarian? какво_става добър_ден! това_е_тривиално математика 2
Edward Frenkel What_movie_should_win_best_picture_next_year? Cocaine_Bear Wet_Hot_American_Summer Nope Rites_of_Love_and_Math 4
Liang Dai What_is_the_best_tool_for_pointing_at_the_chalkboard? Broom_handle Laser Pointer Gravitational_waves 1
Zi Qiu What’s_black_and_white_and_read_all_over A_newspaper A_newspaper Kittel_Thermal_Physics A_newspaper 3
William Holzapfel What_is_the_best_means_of_transportation? Car Bike Cosmic_microwave_background_radiation Walking 2
Saul Perlmutter What_is_the_name_of_LBNL's_supercomputer? Perlmutter Cortana Samantha Genisys 1
Robert Oppenheimer Now_I_am_become_Death,_the_destroyer_of? GPA's Worlds Martinis Felt_Hats 2
Alex Filippenko What_is_the_best_constellation? Altair Leo Sagittarius Orion 4
Paul Hilfinger What_do_you_call_it_when_you_take_a_61b_exam? Hil-arity Oh_Hil-no Hilfingered Hilted 3
